,Model,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Time
0,model_type.hresnet18,0.07471955128205128,4.615132802572006,0.052606836,4.8638754,0,0.1,0.0005,811.2111225128174
1,model_type.hresnet18,0.1252003205128205,4.235477499472789,0.11895806,4.3740516,1,0.1,0.0005,1396.5635251998901
2,model_type.hresnet18,0.19831730769230768,3.7415704115843162,0.17629641,3.9562492,2,0.1,0.0005,1991.4286663532257
3,model_type.hresnet18,0.24138621794871795,3.4292322183266664,0.22827305,3.582817,3,0.1,0.0005,2598.1863379478455
4,model_type.hresnet18,0.281650641025641,3.210377812385559,0.2784091,3.269781,4,0.1,0.0005,3198.130376815796
5,model_type.hresnet18,0.31650641025641024,3.032149565525544,0.32443383,3.0085368,5,0.1,0.0005,3731.070391178131
6,model_type.hresnet18,0.32251602564102566,2.9915725115018015,0.36409652,2.7868605,6,0.1,0.0005,4302.818031549454
7,model_type.hresnet18,0.37479967948717946,2.6637240067506447,0.39818743,2.609433,7,0.1,0.0005,4815.716672182083
8,model_type.hresnet18,0.37940705128205127,2.6602424337313724,0.4278169,2.4607446,8,0.1,0.0005,5319.788800001144
9,model_type.hresnet18,0.382411858974359,2.6786230894235463,0.45391524,2.328951,9,0.1,0.0005,5827.852000713348
10,model_type.hresnet18,0.4140625,2.517232074187352,0.47545215,2.2233536,10,0.1,0.0005,6333.437905788422
11,model_type.hresnet18,0.4483173076923077,2.338327455214965,0.4959987,2.1272304,11,0.1,0.0005,6873.176281929016
12,model_type.hresnet18,0.4332932692307692,2.4680169820785522,0.5140345,2.050659,12,0.1,0.0005,7462.161865472794
13,model_type.hresnet18,0.46374198717948717,2.2476743031770754,0.52797896,1.9757307,13,0.1,0.0005,7982.163846731186
14,model_type.hresnet18,0.42127403846153844,2.4428311922611337,0.5448344,1.9092535,14,0.1,0.0005,8492.919288635254
15,model_type.hresnet18,0.4519230769230769,2.32604704453395,0.5585087,1.8463426,15,0.1,0.0005,9035.294121026993
16,model_type.hresnet18,0.43810096153846156,2.3880588305302157,0.57039255,1.7912673,16,0.1,0.0005,9534.713168859482
17,model_type.hresnet18,0.4901842948717949,2.1455335403100038,0.5796355,1.744552,17,0.1,0.0005,10043.15503525734
18,model_type.hresnet18,0.46334134615384615,2.3091040284205704,0.5922995,1.6929916,18,0.1,0.0005,10547.290628194809
19,model_type.hresnet18,0.46334134615384615,2.258467504611382,0.6002521,1.652258,19,0.1,0.0005,11053.498653888702
20,model_type.hresnet18,0.4729567307692308,2.2223037710556617,0.61358637,1.6041983,20,0.1,0.0005,11567.451229572296
21,model_type.hresnet18,0.49459134615384615,2.1668529984278555,0.6169874,1.5710536,21,0.1,0.0005,12163.47932100296
22,model_type.hresnet18,0.48457532051282054,2.1798542890793238,0.62770087,1.5369781,22,0.1,0.0005,12749.477494239807
23,model_type.hresnet18,0.4577323717948718,2.377118734213022,0.6363136,1.4960495,23,0.1,0.0005,13429.56914114952
24,model_type.hresnet18,0.48036858974358976,2.239261419345171,0.6425256,1.4708945,24,0.1,0.0005,14019.900299787521
25,model_type.hresnet18,0.4833733974358974,2.18455492074673,0.6488176,1.436334,25,0.1,0.0005,14654.174156188965
26,model_type.hresnet18,0.43509615384615385,2.5011539306396093,0.65624,1.4061466,26,0.1,0.0005,15244.096269130707
27,model_type.hresnet18,0.49459134615384615,2.1573099616246347,0.66297215,1.3781792,27,0.1,0.0005,15834.221718549728
28,model_type.hresnet18,0.48157051282051283,2.195861727763445,0.66543293,1.358019,28,0.1,0.0005,16427.000726938248
29,model_type.hresnet18,0.6095753205128205,1.6479271680880816,0.7990157,0.8678815,29,0.1,0.0005,17029.64432144165
30,model_type.hresnet18,0.610176282051282,1.6569021741549175,0.83517724,0.72808284,30,0.1,0.0005,17642.25358581543
31,model_type.hresnet18,0.6155849358974359,1.6537142885036957,0.8521527,0.66761315,31,0.1,0.0005,18271.633204698563
32,model_type.hresnet18,0.6157852564102564,1.6608170759983552,0.8647267,0.62116534,32,0.1,0.0005,18868.891070127487
33,model_type.hresnet18,0.608573717948718,1.686308305997115,0.8762304,0.58380926,33,0.1,0.0005,19430.43229532242
34,model_type.hresnet18,0.6083733974358975,1.6862623064945905,0.88580346,0.5481367,34,0.1,0.0005,19937.95466542244
35,model_type.hresnet18,0.6099759615384616,1.7041455339162777,0.8933859,0.5169456,35,0.1,0.0005,20447.004857063293
36,model_type.hresnet18,0.6033653846153846,1.7187209282165918,0.9018386,0.4915655,36,0.1,0.0005,20962.27862739563
37,model_type.hresnet18,0.6105769230769231,1.708129068215688,0.90825063,0.46720135,37,0.1,0.0005,21471.019546747208
38,model_type.hresnet18,0.6057692307692307,1.7257804855322227,0.91390246,0.44297135,38,0.1,0.0005,21969.576994895935
39,model_type.hresnet18,0.5995592948717948,1.7596373221813104,0.9206246,0.41845557,39,0.1,0.0005,22473.88744211197
40,model_type.hresnet18,0.6025641025641025,1.7541193610582597,0.9261864,0.39762738,40,0.1,0.0005,22974.458822488785
41,model_type.hresnet18,0.600761217948718,1.7712742961370027,0.9316381,0.37809443,41,0.1,0.0005,23485.456522226334
42,model_type.hresnet18,0.5987580128205128,1.7800493561304533,0.9360896,0.35754398,42,0.1,0.0005,24005.086693763733
43,model_type.hresnet18,0.5933493589743589,1.786151219636966,0.9407911,0.34149045,43,0.1,0.0005,24517.145480394363
